Dataset (indv datasets within larger group),Full name dataset (top of page),CxG Link,h5ad link,Reference_DOI,Bionetworks reference,Standard category present? (T/F),Standard category cell_type present? (T/F),Author Category Cell Type Field Name,Content,Value type(s),Notes,Study Short Name,CxG Dataset Collection X,Is the dataset Normal or Normal/Diseased,Stage
Human kidney cortex snRNA-seq data from donors with and without diabetic kidney disease,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,https://cellxgene.cziscience.com/e/e067e5ca-e53e-485f-aa8e-efd5435229c8.cxg/,https://datasets.cellxgene.cziscience.com/0206ea52-4932-4c71-87ed-58d00ffffd49.h5ad,DOI: 10.1038/s41467-022-32972-z,T,T,T,seurat_clusters,Other,normal ,,Wilson et al. (2022) Nat Commun,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,Both,Adult
Human kidney cortex snRNA-seq data from donors with and without diabetic kidney disease,Multimodal single cell sequencing implicates chromatin accessibility and genetic background in diabetic kidney disease progression,https://cellxgene.cziscience.com/e/e067e5ca-e53e-485f-aa8e-efd5435229c8.cxg/,https://datasets.cellxgene.cziscience.com/0206ea52-4932-4c71-87ed-58d00ffffd49.h5ad,DOI: 10.1038/s41467-022-32972-z,T,T,T,suspension_uuid ,Other,normal ,,Wilson et al. (2022) Nat Commun,https://cellxgene.cziscience.com/collections/b3e2c6e3-9b05-4da9-8f42-da38a664b45b,Both,Adult
Integrated Single-nucleus and Single-cell RNA-seq of the Adult Human Kidney,An atlas of healthy and injured cell states and niches in the human kidney,https://cellxgene.cziscience.com/e/0b75c598-0893-4216-afe8-5414cab7739d.cxg/,https://datasets.cellxgene.cziscience.com/f202ae56-b9b6-48bd-87cd-fda4561d9dc9.h5ad,DOI: 10.1038/s41586-023-05769-3,N,T,T,class,Cell types,normal ,,Lake et al. (2023) Nature,https://cellxgene.cziscience.com/collections/bcb61471-2a44-4d00-a0af-ff085512674c,Both,Adult
Integrated Single-nucleus and Single-cell RNA-seq of the Adult Human Kidney,An atlas of healthy and injured cell states and niches in the human kidney,https://cellxgene.cziscience.com/e/0b75c598-0893-4216-afe8-5414cab7739d.cxg/,https://datasets.cellxgene.cziscience.com/f202ae56-b9b6-48bd-87cd-fda4561d9dc9.h5ad,DOI: 10.1038/s41586-023-05769-3,N,T,T,subclass.full,Cell types,normal ,,Lake et al. (2023) Nature,https://cellxgene.cziscience.com/collections/bcb61471-2a44-4d00-a0af-ff085512674c,Both,Adult
Integrated Single-nucleus and Single-cell RNA-seq of the Adult Human Kidney,An atlas of healthy and injured cell states and niches in the human kidney,https://cellxgene.cziscience.com/e/0b75c598-0893-4216-afe8-5414cab7739d.cxg/,https://datasets.cellxgene.cziscience.com/f202ae56-b9b6-48bd-87cd-fda4561d9dc9.h5ad,DOI: 10.1038/s41586-023-05769-3,N,T,T,subclass.l1,Cell types,abbreviations,,Lake et al. (2023) Nature,https://cellxgene.cziscience.com/collections/bcb61471-2a44-4d00-a0af-ff085512674c,Both,Adult
Integrated Single-nucleus and Single-cell RNA-seq of the Adult Human Kidney,An atlas of healthy and injured cell states and niches in the human kidney,https://cellxgene.cziscience.com/e/0b75c598-0893-4216-afe8-5414cab7739d.cxg/,https://datasets.cellxgene.cziscience.com/f202ae56-b9b6-48bd-87cd-fda4561d9dc9.h5ad,DOI: 10.1038/s41586-023-05769-3,N,T,T,subclass.l2,Cell types,abbreviations,,Lake et al. (2023) Nature,https://cellxgene.cziscience.com/collections/bcb61471-2a44-4d00-a0af-ff085512674c,Both,Adult
Integrated Single-nucleus and Single-cell RNA-seq of the Adult Human Kidney,An atlas of healthy and injured cell states and niches in the human kidney,https://cellxgene.cziscience.com/e/0b75c598-0893-4216-afe8-5414cab7739d.cxg/,https://datasets.cellxgene.cziscience.com/f202ae56-b9b6-48bd-87cd-fda4561d9dc9.h5ad,DOI: 10.1038/s41586-023-05769-3,N,T,T,subclass.l3,Cell types,abbreviations,,Lake et al. (2023) Nature,https://cellxgene.cziscience.com/collections/bcb61471-2a44-4d00-a0af-ff085512674c,Both,Adult
Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),An atlas of healthy and injured cell states and niches in the human kidney,https://cellxgene.cziscience.com/e/07854d9c-5375-4a9b-ac34-fa919d3c3686.cxg/,https://datasets.cellxgene.cziscience.com/1cbe52c1-0567-4188-9c18-9d7271c56055.h5ad,DOI: 10.1038/s41586-023-05769-3,N,T,T,class,Cell types,normal,,Lake et al. (2023) Nature,https://cellxgene.cziscience.com/collections/bcb61471-2a44-4d00-a0af-ff085512674c,Both,Adult
Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),An atlas of healthy and injured cell states and niches in the human kidney,https://cellxgene.cziscience.com/e/07854d9c-5375-4a9b-ac34-fa919d3c3686.cxg/,https://datasets.cellxgene.cziscience.com/1cbe52c1-0567-4188-9c18-9d7271c56055.h5ad,DOI: 10.1038/s41586-023-05769-3,N,T,T,subclass.l1,Cell types,abbreviations,,Lake et al. (2023) Nature,https://cellxgene.cziscience.com/collections/bcb61471-2a44-4d00-a0af-ff085512674c,Both,Adult
Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.0),An atlas of healthy and injured cell states and niches in the human kidney,https://cellxgene.cziscience.com/e/07854d9c-5375-4a9b-ac34-fa919d3c3686.cxg/,https://datasets.cellxgene.cziscience.com/1cbe52c1-0567-4188-9c18-9d7271c56055.h5ad,DOI: 10.1038/s41586-023-05769-3,N,T,T,subclass.l2,Cell types,abbreviations,,Lake et al. (2023) Nature,https://cellxgene.cziscience.com/collections/bcb61471-2a44-4d00-a0af-ff085512674c,Both,Adult
Single-cell RNA-seq of the Adult Human Kidney (Version 1.0),An atlas of healthy and injured cell states and niches in the human kidney,https://cellxgene.cziscience.com/e/32b9bdce-2481-4c85-ba1b-6ad5fcea844c.cxg/,https://datasets.cellxgene.cziscience.com/d0ddf40e-dc4b-4134-8439-bfb8bf7a81f4.h5ad,DOI: 10.1038/s41586-023-05769-3,N,T,T,celltype,Cell types,abbreviations,,Lake et al. (2023) Nature,https://cellxgene.cziscience.com/collections/bcb61471-2a44-4d00-a0af-ff085512674c,Both,Adult
Single-cell RNA-seq of the Adult Human Kidney (Version 1.0),An atlas of healthy and injured cell states and niches in the human kidney,https://cellxgene.cziscience.com/e/32b9bdce-2481-4c85-ba1b-6ad5fcea844c.cxg/,https://datasets.cellxgene.cziscience.com/d0ddf40e-dc4b-4134-8439-bfb8bf7a81f4.h5ad,DOI: 10.1038/s41586-023-05769-3,N,T,T,subclass.l1,Cell types,abbreviations,,Lake et al. (2023) Nature,https://cellxgene.cziscience.com/collections/bcb61471-2a44-4d00-a0af-ff085512674c,Both,Adult
Single-cell RNA-seq of the Adult Human Kidney (Version 1.0),An atlas of healthy and injured cell states and niches in the human kidney,https://cellxgene.cziscience.com/e/32b9bdce-2481-4c85-ba1b-6ad5fcea844c.cxg/,https://datasets.cellxgene.cziscience.com/d0ddf40e-dc4b-4134-8439-bfb8bf7a81f4.h5ad,DOI: 10.1038/s41586-023-05769-3,N,T,T,subclass.l2,Cell types,abbreviations,,Lake et al. (2023) Nature,https://cellxgene.cziscience.com/collections/bcb61471-2a44-4d00-a0af-ff085512674c,Both,Adult
